Brand*,Store id,Name,Lat*,Lng*,Address1,Address2,City,State,Zip code,Country,Phone number,Fax number,Store hours,Time zone,Dma Code,Status*
Limoncello Ristorante,"",Limoncello Ristorante,42.3633328825235,-71.0539074987173,190 North St,"",Boston,MA,02113,US,6175234480,"","",EST,"",Active
Silvertone,"",Silvertone,42.3571472,-71.0608749,69 Bromfield St,"",Boston,MA,02108,US,6173387887,"","",EST,"",Active
Cafe Polonia,"",Cafe Polonia,42.32878,-71.05712,611 Dorchester Ave,"",Boston,MA,02127,US,6172690110,"","",EST,"",Active
Hillstone Restaurant,"",Hillstone Restaurant,42.3591464425085,-71.0555362701416,60 State St,"",Boston,MA,02109,US,6175739777,"","",EST,"",Active
Equal Exchange Café,"",Equal Exchange Café,42.3667793,-71.0594101,226 Causeway St,"",Boston,MA,02114,US,6173728777,"","",EST,"",Active
The Tap Trailhouse,"",The Tap Trailhouse,42.3609285960884,-71.056898076297,19 Union St,"",Boston,MA,02108,US,6173670033,"","",EST,"",Active
Stoked Wood Fired Pizza,"",Stoked Wood Fired Pizza,42.3531626418461,-71.0556462478491,Waterfront,"",Boston,MA,02110,US,6179823473,"","",EST,"",Active
Boston Kebab House,"",Boston Kebab House,42.3578242957592,-71.0551781952381,7 Liberty Sq,"",Boston,MA,02109,US,6172276900,"","",EST,"",Active
Mr. Dooley's,"",Mr. Dooley's,42.35765,-71.0536599,77 Broad St,"",Boston,MA,02109,US,6173385656,"","",EST,"",Active
Coppa,"",Coppa,42.3434600830078,-71.068733215332,253 Shawmut Ave,"",Boston,MA,02118,US,6173910902,"","",EST,"",Active
The Salty Pig,"",The Salty Pig,42.3463669,-71.0757446,130 Dartmouth St,"",Boston,MA,02116,US,6175366200,"","",EST,"",Active
Taqueria Jalisco,"",Taqueria Jalisco,42.3787193,-71.028183,291 Bennington St,"",Boston,MA,02128,US,6175676367,"","",EST,"",Active
Meritage Restaurant,"",Meritage Restaurant,42.3565521,-71.0505981,70 Rowes Wharf,"",Boston,MA,02110,US,6174393995,"","",EST,"",Active
Panza,"",Panza,42.364584133029,-71.053721755743,326 Hanover St,"",Boston,MA,02113,US,6175579248,"","",EST,"",Active
Troquet,"",Troquet,42.3522682,-71.0662308,140 Boylston St,"",Boston,MA,02116,US,6176959463,"","",EST,"",Active
Sip Cafe,"",Sip Cafe,42.3560703332238,-71.0553216934204,0 Post Office Sq,"",Boston,MA,02109,US,6173383080,"","",EST,"",Active
Scampo,"",Scampo,42.3619616026651,-71.0704138066145,The Liberty Hotel,"",Boston,MA,02114,US,6175362100,"","",EST,"",Active
Bistro Du Midi,"",Bistro Du Midi,42.351981434352,-71.069533707682,272 Boylston St,"",Boston,MA,02116,US,6174267878,"","",EST,"",Active
Pedro's Tacos,"",Pedro's Tacos,42.356927767396,-71.0605996102095,55 Bromfield St,"",Boston,MA,02108,US,6174828822,"","",EST,"",Active
New Dong Khanh,"",New Dong Khanh,42.350983992219,-71.0614418238401,83 Harrison Ave,"",Boston,MA,02111,US,6174269410,"","",EST,"",Active
Fleming's Prime Steakhouse & Wine Bar,"",Fleming's Prime Steakhouse & Wine Bar,42.3507765,-71.0680852,217 Stuart St,"",Boston,MA,02116,US,6172920808,"","",EST,"",Active
My Cousin's Place,"",My Cousin's Place,42.3659527825682,-71.0529154596387,396 Hanover St,"",Boston,MA,02113,US,8573503029,"","",EST,"",Active
Billy's Sub Shop,"",Billy's Sub Shop,42.34662,-71.07046,57 Berkeley St,"",Boston,MA,02116,US,6174261822,"","",EST,"",Active
Figaro's,"",Figaro's,42.3506813049316,-71.0583190917969,105 beach St,"",Boston,MA,02111,US,6174262121,"","",EST,"",Active
Flat Black Coffee Company,"",Flat Black Coffee Company,42.3580284,-71.0537262,50 Broad St,"",Boston,MA,02109,US,6179511440,"","",EST,"",Active
Pho Basil,"",Pho Basil,42.345767,-71.087371,177 Massachusetts Ave,"",Boston,MA,02115,US,6172625377,"","",EST,"",Active
Mi Pueblito Restaurant,"",Mi Pueblito Restaurant,42.3790932,-71.0398865,333 Border St,"",Boston,MA,02128,US,6175693787,"","",EST,"",Active
Figs,"",Figs,42.3572082519531,-71.0702590942383,42 Charles St,"",Boston,MA,02114,US,6177423447,"","",EST,"",Active
Fogo de Chão Brazilian Steakhouse,"",Fogo de Chão Brazilian Steakhouse,42.34880756427,-71.077162199668,200 Dartmouth St,"",Boston,MA,02116,US,6175856300,"","",EST,"",Active
B & G Oysters,"",B & G Oysters,42.343879699707,-71.0712432861328,550 Tremont St,"",Boston,MA,02116,US,6174230550,"","",EST,"",Active
Gaslight,"",Gaslight,42.3408975452185,-71.0675378143787,560 Harrison Ave,"",Boston,MA,02118,US,6174220224,"","",EST,"",Active
El Pelón Taquería,"",El Pelón Taquería,42.3432216793299,-71.0989652574062,92 Peterborough St,"",Boston,MA,02215,US,6172629090,"","",EST,"",Active
Franklin Café,"",Franklin Café,42.34291,-71.06895,278 Shawmut Ave,"",Boston,MA,02118,US,6173500010,"","",EST,"",Active
Falafel King,"",Falafel King,42.3578462497398,-71.0578912496567,260 Washington St,"",Boston,MA,02108,US,6172276400,"","",EST,"",Active
La Voile,"",La Voile,42.34967,-71.0832099,261 Newbury St,"",Boston,MA,02116,US,6175874200,"","",EST,"",Active
Quincy Market,"",Quincy Market,42.3601450332,-71.0556999665,4 S Market St,"",Boston,MA,02109,US,6175231300,"","",EST,"",Active
The Paramount,"",The Paramount,42.357291,-71.070088,44 Charles St,"",Boston,MA,02114,US,6177201152,"","",EST,"",Active
Nico Ristorante,"",Nico Ristorante,42.3656649,-71.0528222,417 Hanover St,"",Boston,MA,02113,US,6177420404,"","",EST,"",Active
Sabroso Taqueria,"",Sabroso Taqueria,42.3573494,-71.0546494,2 Oliver St,"",Boston,MA,02109,US,8579911015,"","",EST,"",Active
The Corner Pub,"",The Corner Pub,42.3507191240788,-71.0585430264473,162 Lincoln St,"",Boston,MA,02111,US,6175427080,"","",EST,"",Active
Gyro City,"",Gyro City,42.3431622796524,-71.0989929288362,88 Peterborough St,"",Boston,MA,02215,US,6172664976,"","",EST,"",Active
The Courtyard Restaurant,"",The Courtyard Restaurant,42.3493576049805,-71.0782699584961,The Catered Affair,"",Boston,MA,02116,US,6178592251,"","",EST,"",Active
Oishii Boston,"",Oishii Boston,42.343216559683,-71.066379535192,1166 Washington St,"",Boston,MA,02118,US,6174828868,"","",EST,"",Active
Yankee Lobster Fish Market,"",Yankee Lobster Fish Market,42.347921583679,-71.035987943405,300 Northern Ave,"",Boston,MA,02210,US,6173459799,"","",EST,"",Active
La Famiglia Giorgio's,"",La Famiglia Giorgio's,42.36459,-71.05571,112 Salem St,"",Boston,MA,02113,US,6173676711,"","",EST,"",Active
My Thai Vegan Cafe,"",My Thai Vegan Cafe,42.3514661192894,-71.0625569522381,3 Beach St,"",Boston,MA,02111,US,6174512395,"","",EST,"",Active
Caffé Vittoria,"",Caffé Vittoria,42.36418,-71.05448,296 Hanover St,"",Boston,MA,02113,US,6172277606,"","",EST,"",Active
Lolita Cocina & Tequila Bar,"",Lolita Cocina & Tequila Bar,42.350595690564,-71.07748186798,271 Dartmouth St,"",Boston,MA,02116,US,6173695609,"","",EST,"",Active
Ward 8,"",Ward 8,42.3653984,-71.0586472,90 N Washington St,"",Boston,MA,02113,US,6178234478,"","",EST,"",Active
Karo's BBQ,"",Karo's BBQ,42.3549525,-71.0597632,State Street (One Washington Mall),"",Boston,MA,02110,US,8572441174,"","",EST,"",Active
21st Amendment,"",21st Amendment,42.358404744459,-71.062613549108,150 Bowdoin Sq,"",Boston,MA,02108,US,6172277100,"","",EST,"",Active
Anchovies,"",Anchovies,42.343939,-71.077598,433 Columbus Ave,"",Boston,MA,02116,US,6172665088,"","",EST,"",Active
Grill 23 & Bar,"",Grill 23 & Bar,42.3493362,-71.0719261,161 Berkeley St,"",Boston,MA,02116,US,6175422255,"","",EST,"",Active
Cafe Hemshin,"",Cafe Hemshin,42.3577371,-71.0593509,8 City Hall Ave,"",Boston,MA,02108,US,6172270505,"","",EST,"",Active
Mul's Diner,"",Mul's Diner,42.341818761813,-71.055741536944,75 W Broadway,"",Boston,MA,02127,US,6172685748,"","",EST,"",Active
Delux Café,"",Delux Café,42.34628,-71.07289,100 Chandler St,"",Boston,MA,02116,US,6173385258,"","",EST,"",Active
The Hawthorne,"",The Hawthorne,42.3486925877382,-71.0953666879285,Hotel Commonwealth,"",Boston,MA,02215,US,6175329150,"","",EST,"",Active
Boston Chowda Co.,"",Boston Chowda Co.,42.360156558668,-71.055152437753,1 Faneuil Hall Market Pl,"",Boston,MA,02109,US,6177424441,"","",EST,"",Active
New Saigon Sandwich,"",New Saigon Sandwich,42.351176193839,-71.062741050927,696 Washington St,"",Boston,MA,02111,US,6175426296,"","",EST,"",Active
Irashai Sushi and Teriyaki,"",Irashai Sushi and Teriyaki,42.3509865,-71.0625458,8 Kneeland St,"",Boston,MA,02111,US,6173506888,"","",EST,"",Active
Eastern Standard Kitchen and Drinks,"",Eastern Standard Kitchen and Drinks,42.348740324378,-71.0960168391466,528 Commonwealth Ave,"",Boston,MA,02215,US,6175329100,"","",EST,"",Active
Mooo Restaurant,"",Mooo Restaurant,42.3584,-71.06197,15 Beacon St,"",Boston,MA,02108,US,6176702515,"","",EST,"",Active
Leonard P. Zakim Bunker Hill Memorial Bridge,"",Leonard P. Zakim Bunker Hill Memorial Bridge,42.3663644492626,-71.0600443929434,100 Beverly St,"",Boston,MA,02114,US,,"","",EST,"",Active
The Parish Cafe,"",The Parish Cafe,42.351822284275,-71.071625035216,361 Boylston St,"",Boston,MA,02116,US,6172474777,"","",EST,"",Active
Barrington Coffee Roasting Company,"",Barrington Coffee Roasting Company,42.3489418,-71.0855103,303 Newbury St,"",Boston,MA,02115,US,8572502780,"","",EST,"",Active
Lucy Ethiopian Cafe,"",Lucy Ethiopian Cafe,42.3423691,-71.0841217,334 Massachusetts Ave,"",Boston,MA,02115,US,6175360415,"","",EST,"",Active
Q Restaurant,"",Q Restaurant,42.351812533351,-71.062679301879,660 Washington St,"",Boston,MA,02111,US,8573503968,"","",EST,"",Active
Giacomo's,"",Giacomo's,42.34406,-71.077732,431 Columbus Ave,"",Boston,MA,02116,US,6175365723,"","",EST,"",Active
Corner Tavern,"",Corner Tavern,42.3501587,-71.0894318,421 Marlborough St,"",Boston,MA,02115,US,6172625555,"","",EST,"",Active
The Christian Science Plaza,"",The Christian Science Plaza,42.344110284178,-71.084479140845,210 Massachusetts Ave,"",Boston,MA,02115,US,6174502000,"","",EST,"",Active
The Oceanaire Seafood Room,"",The Oceanaire Seafood Room,42.3590990155935,-71.0590895265341,40 Court St,"",Boston,MA,02108,US,6177422277,"","",EST,"",Active
The Five Seventy Market,"",The Five Seventy Market,42.343399,-71.0723267,570 Tremont St,"",Boston,MA,02118,US,8573627525,"","",EST,"",Active
Myers & Chang,"",Myers & Chang,42.344034,-71.066226,1145 Washington St,"",Boston,MA,02118,US,6175425200,"","",EST,"",Active
North Street Grille,"",North Street Grille,42.3653886282848,-71.0517768189311,229 North St,"",Boston,MA,02113,US,6177202010,"","",EST,"",Active
Aria Trattoria,"",Aria Trattoria,42.3632969,-71.0549427,253 Hanover St,"",Boston,MA,02113,US,6177421276,"","",EST,"",Active
Scollay Square,"",Scollay Square,42.3580742,-71.0626678,21 Beacon St,"",Boston,MA,02108,US,6177424900,"","",EST,"",Active
Espresso Love,"",Espresso Love,42.358437,-71.054497,33 Broad St,"",Boston,MA,02109,US,8572847462,"","",EST,"",Active
Bricco,"",Bricco,42.3631202,-71.0549297,241 Hanover St,"",Boston,MA,02113,US,6172486800,"","",EST,"",Active
Tea Do Contemporary Tea House,"",Tea Do Contemporary Tea House,42.351155,-71.060512,8 Tyler St,"",Boston,MA,02111,US,6179888002,"","",EST,"",Active
Maurizios,"",Maurizios,42.3653869628906,-71.0532836914062,364 Hanover St,"",Boston,MA,02113,US,6173671123,"","",EST,"",Active
Luke's Lobster,"",Luke's Lobster,42.3485603,-71.0792465,75 Exeter Street,"",Boston,MA,02116,US,8573504626,"","",EST,"",Active
Wired Puppy,"",Wired Puppy,42.349323,-71.082596,250 Newbury St,"",Boston,MA,02116,US,8573664655,"","",EST,"",Active
Pomodoro,"",Pomodoro,42.3645401,-71.0534897,351 Hanover St,"",Boston,MA,02113,US,6173674348,"","",EST,"",Active
Wai Wai Restaurant,"",Wai Wai Restaurant,42.3516808,-71.0602722,26 Oxford St,"",Boston,MA,02111,US,6173389833,"","",EST,"",Active
J.P. Licks,"",J.P. Licks,42.3470193,-71.0887018,1106 Boylston St,"",Boston,MA,02215,US,8572335805,"","",EST,"",Active
Aquitaine,"",Aquitaine,42.34391,-71.07226,569 Tremont St,"",Boston,MA,02118,US,6174248577,"","",EST,"",Active
Legal Crossing,"",Legal Crossing,42.3536691583522,-71.0622538856179,558 Washington St,"",Boston,MA,02111,US,6176928888,"","",EST,"",Active
Cafe Fleuri,"",Cafe Fleuri,42.3564959317446,-71.0541609674692,250 Franklin St,"",Boston,MA,02110,US,6174511900,"","",EST,"",Active
Stanza Dei Sigari,"",Stanza Dei Sigari,42.3642073,-71.0542421,292 Hanover St,"",Boston,MA,02113,US,6172270295,"","",EST,"",Active
Carmen Trattoria,"",Carmen Trattoria,42.363453,-71.053807,33 North Sq,"",Boston,MA,02113,US,6177426421,"","",EST,"",Active
Croke Park/Whitey's,"",Croke Park/Whitey's,42.3391748964787,-71.0513278841972,268 W Broadway,"",Boston,MA,02127,US,6174644869,"","",EST,"",Active
Mike's City Diner,"",Mike's City Diner,42.3369865,-71.0760727,1714 Washington St,"",Boston,MA,02118,US,6172679393,"","",EST,"",Active
Fill-A-Buster,"",Fill-A-Buster,42.3584861755371,-71.0626525878906,142 Bowdoin St,"",Boston,MA,02108,US,6175238164,"","",EST,"",Active
Figs,"",Figs,42.373618,-71.062565,67 Main St,"",Boston,MA,02129,US,6172422229,"","",EST,"",Active
